record_id	name	mrp_id	cms_status	marketplace_status
rec1pcUiOTthsA9mI	MarketFolio	67fd86f504755a60d622f3d1	Active	3️⃣Published🚀
rec1q6TMyeE85BRmg	TheShop	660867231447875e74df6bcc	Active	3️⃣Published🚀
rec1qA6VYmfVdFmHX	Tonle	615cab292ffbced579968d94	Active	3️⃣Published🚀
rec1qADkSE0LydYiR	DataPulse	64fdf888ec4645b5bd0654d7	Active	3️⃣Published🚀
rec1qFK5WlHldPQql	Fenix	5c9a2cec6315c6a6f3aea7f8	Active	3️⃣Published🚀
rec1qYpy3U3ajj6cP	Wanderlust	657ca25d163344232dcecfbb		3️⃣Published🚀
rec1qdm2zYEbijH9Z	Catalis	693b552b709eca0e1f9ddfe7	Active	3️⃣Published🚀
rec1qoBymUTnYz2SS	Zailangu	664f65632ca080de6239b385	Active	3️⃣Published🚀
rec1qoFfpGDNbCrxi	cleaningZ	666ccf59b532af19d5844ef0	Active	3️⃣Published🚀
rec1qsrwszN8gC4xl	Oranzon	664cb08e03b0377cd6b0faf6	Active	3️⃣Published🚀
rec1rFlq0CfXzCRFF	Flagship	67a195f54376cab9fe0c891b	Active	3️⃣Published🚀
rec1rfEqsp2T7HXYh	Interio	64d3cdf05c2006c1755cf0df	Active	3️⃣Published🚀
rec1rrBOlHTAszJQ6	Assetco	64a445dc755e9a3ab1744d41	Active	3️⃣Published🚀
rec1s6ivXr2rXRMxk	Penelope	65fcffc61eaf5ffad2f8de73	Active	3️⃣Published🚀
rec1s95m9X9lf6mup	EVER/DREAM	6756fd86ed762d143d36ec96	Active	3️⃣Published🚀
rec1tkmNNRtWEp4uM	Binanas	630e3e6ad9fd0405c33b096d	Active	3️⃣Published🚀
rec1uEJ83wOD1FKgX	Sigma	5e6acc59d08b1282dd8aef37	Active	3️⃣Published🚀
rec1uR0UZXIjvWpPL	Nextron	6605ec3c4837d0a5ffceeae0	Active	3️⃣Published🚀
rec1vPz17bBebNH1H	Victor Noir	66e8af4dc89a30429dbcff3b	Active	3️⃣Published🚀
rec1wD4SN3DWMFhId	Subscription X	6660c187c19b6fce5dd2103d	Active	3️⃣Published🚀
rec1wb5BrF1YtNRPl	NutriCore	6798e24a7386ed3fe3af954d	Active	3️⃣Published🚀
rec1wcOlEDGGa8IdN	Congra	69181a6c5197588ac7567e0e	Active	3️⃣Published🚀
rec1xGsxvDWsthTUK	Lunaria Studio	668954cc02fdd121eafe76af	Active	3️⃣Published🚀
rec1y6mBL60cdnWT7	Webinarly	676e011ee24e1bfe9d07e3a7	Active	3️⃣Published🚀
rec1yAVIFTcgmiyyz	Inspired Studio	645a76388d87fd8d04ddf1fa	Active	3️⃣Published🚀
rec1yRcRjWmJQfRzk	Orbix	672241a8dfd61e498a7aad6f	Active	3️⃣Published🚀
